code,gu,dong,older,disableratio,fireratio,bankratio,seniorcenterratio,movinginrartio,movingoutratio
성동구성수1가2동,성동구,성수1가2동,387,0.036073204,0.000423146,0.00015868,0.000423146,0.153231778,0.169628689
성동구성수2가1동,성동구,성수2가1동,519,0.041717219,0.000979935,0.000139991,0.000326645,0.125011666,0.147083528
성동구성수2가3동,성동구,성수2가3동,268,0.037540193,0.002813505,0.001125402,0.000803859,0.167282958,0.163504823
성동구송정동,성동구,송정동,325,0.043943086,0.000707492,0,0.000314441,0.132143699,0.147236852
성동구용답동,성동구,용답동,482,0.04768959,0.000911629,0.00017093,0.000284884,0.124380377,0.141872258
성동구왕십리도선동,성동구,왕십리도선동,435,0.04851711,0.000228137,0.000304183,0.000532319,0.150418251,0.149657795
성동구금호2.3가동,성동구,금호2.3가동,543,0.039530282,0.00038713,0.000129043,0.000430145,0.291508947,0.166982106
성동구옥수동,성동구,옥수동,511,0.031721528,0.000398387,0.000149395,0.000746975,0.161794731,0.263931079
광진구화양동,광진구,화양동,443,0.028636932,0.001250521,0.00041684,0.000125052,0.21404752,0.214714464
광진구군자동,광진구,군자동,484,0.037251991,0.000719845,0.000179961,0.000224952,0.163089936,0.169703514
광진구중곡1동,광진구,중곡1동,365,0.040303874,0.000637903,0.000231965,0.000115982,0.160693575,0.171305961
광진구중곡2동,광진구,중곡2동,405,0.038521133,0.000645606,0.000172161,0.000129121,0.15627959,0.159335457
광진구중곡3동,광진구,중곡3동,401,0.04223804,0.000575735,5.23396E-05,0.000157019,0.14806867,0.169004501
광진구중곡4동,광진구,중곡4동,652,0.040859949,0.000402714,6.19559E-05,0.000123912,0.142994331,0.144419318
광진구능동,광진구,능동,242,0.035752119,0.000529661,0,8.82768E-05,0.199329096,0.204978814
광진구구의1동,광진구,구의1동,497,0.035121247,0.000509619,0.000212341,0.000169873,0.176583004,0.190215314
광진구구의2동,광진구,구의2동,559,0.042567762,0.00046857,0.000108131,0.000180219,0.147815744,0.135128316
광진구구의3동,광진구,구의3동,473,0.027433746,0.000532694,0.000332934,0.000332934,0.147722733,0.167698761
광진구광장동,광진구,광장동,457,0.020781671,0.000134771,0.000269542,0.000566038,0.154528302,0.117978437
광진구자양1동,광진구,자양1동,620,0.035965449,0.000687968,0.000114661,0.000152882,0.146422565,0.168513989
