code,gu,dong,disable,fire,bank,seniorcenter,movingin,movingout,older,older2013
강남구개포2동,강남구,개포2동,811,13,7,11,5294,5889,471,527
송파구풍납1동,송파구,풍납1동,779,9,0,6,2494,2911,457,495
송파구풍납2동,송파구,풍납2동,888,14,5,12,3926,4274,119,418
송파구거여1동,송파구,거여1동,633,13,0,7,2433,2512,294,308
송파구거여2동,송파구,거여2동,1294,10,4,14,3532,4239,704,694
송파구마천1동,송파구,마천1동,1207,9,1,10,3212,3377,623,630
송파구마천2동,송파구,마천2동,1137,9,2,7,2876,3517,582,550
송파구방이1동,송파구,방이1동,488,9,2,5,2616,2631,231,234
송파구방이2동,송파구,방이2동,880,18,7,2,5069,5218,468,459
송파구오륜동,송파구,오륜동,355,7,9,3,2255,2479,203,194
송파구오금동,송파구,오금동,1263,16,7,14,5095,5503,726,706
송파구송파1동,송파구,송파1동,739,12,7,4,5526,5511,463,448
송파구송파2동,송파구,송파2동,603,7,4,7,5123,3010,330,313
송파구석촌동,송파구,석촌동,1119,27,11,3,7224,7213,550,601
송파구삼전동,송파구,삼전동,1016,16,7,4,6483,6873,529,517
송파구가락본동,송파구,가락본동,818,18,12,9,4933,5112,484,466
송파구가락1동,송파구,가락1동,254,17,3,4,1365,10368,199,168
송파구가락2동,송파구,가락2동,940,11,9,10,4937,5251,419,401
송파구문정1동,송파구,문정1동,634,8,6,7,3760,3935,319,300
송파구문정2동,송파구,문정2동,373,3,9,4,1726,1923,293,275
송파구장지동,송파구,장지동,1572,19,3,17,6148,6524,592,603
송파구잠실본동,송파구,잠실본동,902,22,14,6,5889,5955,550,522
송파구잠실4동,송파구,잠실4동,713,4,10,8,4844,5422,361,394
송파구잠실6동,송파구,잠실6동,374,8,16,3,2276,2535,523,227
송파구잠실7동,송파구,잠실7동,211,1,5,2,1060,1107,453,185
송파구잠실2동,송파구,잠실2동,640,2,10,2,6536,6987,256,364
송파구잠실3동,송파구,잠실3동,783,6,11,3,5409,5845,199,465
강동구강일동,강동구,강일동,1545,13,4,12,3461,3135,329,371
강동구상일동,강동구,상일동,991,9,2,8,3973,4279,412,422
강동구명일1동,강동구,명일1동,843,8,8,7,4086,4422,467,489
강동구명일2동,강동구,명일2동,494,5,8,8,2658,2513,201,212
강동구고덕1동,강동구,고덕1동,575,9,0,7,2465,8260,330,215
강동구고덕2동,강동구,고덕2동,923,9,2,3,2908,3208,423,447
강동구암사2동,강동구,암사2동,496,6,3,11,2695,2693,824,909
강동구암사3동,강동구,암사3동,572,11,4,4,2880,3113,232,242
강동구천호1동,강동구,천호1동,1371,12,2,7,5167,5447,194,183
강동구천호3동,강동구,천호3동,1338,29,3,5,4437,4930,692,776
강동구성내1동,강동구,성내1동,588,15,7,9,2854,3292,1023,1082
강동구성내2동,강동구,성내2동,1151,14,4,11,4874,5105,760,814
강동구성내3동,강동구,성내3동,890,19,6,4,4403,4556,255,288
강동구둔촌1동,강동구,둔촌1동,455,10,2,8,2849,3050,665,727
강동구둔촌2동,강동구,둔촌2동,1003,13,7,5,4076,4385,453,502
강동구암사1동,강동구,암사1동,1617,15,4,3,6099,6374,821,880
강동구천호2동,강동구,천호2동,1847,29,7,13,5960,6265,186,199
강동구길동,강동구,길동,1950,37,9,15,7373,7939,508,547
