code,gu,dong,movingin,movingout,gas,disable,seniorcenter,bank,totalpopulation(2010),movingin ration,movingout ration,gasratio,older,orderratio,disableratio
금천구독산4동,금천구,독산4동,2862,3041,8463,768,5,2,19210,0.148984904,0.158302967,0.440551796,399,0.020770432,0.039979178
중랑구중화1동,중랑구,중화1동,3099,3426,7727,913,3,1,20989,0.147648768,0.163228358,0.368145219,429,0.020439278,0.043498976
양천구신월2동,양천구,신월2동,3454,3085,7039,972,10,2,19703,0.175303253,0.156575141,0.35725524,398,0.02019997,0.049332589
중랑구상봉1동,중랑구,상봉1동,3180,3587,8828,1430,11,1,24776,0.128350016,0.144777204,0.356312561,500,0.02018082,0.057717146
노원구하계2동,노원구,하계2동,2901,3223,7841,1084,14,1,25351,0.114433356,0.127135024,0.309297464,502,0.01980198,0.042759654
중랑구묵1동,중랑구,묵1동,5354,5351,12674,1419,13,4,32737,0.163545835,0.163454196,0.387146043,643,0.019641384,0.04334545
노원구상계9동,노원구,상계9동,3239,3786,8052,777,16,4,24618,0.131570396,0.15378991,0.327077748,482,0.01957917,0.031562272
도봉구창2동,도봉구,창2동,4274,4570,11428,1205,8,1,30381,0.14068003,0.150422962,0.37615615,592,0.019485863,0.039662947
성동구응봉동,성동구,응봉동,2521,2674,5668,573,9,1,16659,0.151329612,0.160513836,0.340236509,323,0.019388919,0.034395822
양천구목2동,양천구,목2동,5057,5152,11242,1020,14,2,29669,0.170447268,0.173649264,0.378914018,575,0.019380498,0.034379318
노원구상계10동,노원구,상계10동,3102,3487,7054,592,8,2,20443,0.151738982,0.170571834,0.345056988,393,0.019224184,0.028958568
용산구청파동,용산구,청파동,3872,4599,10306,926,6,4,22713,0.170475058,0.202483159,0.453748954,434,0.019108,0.040769603
용산구보광동,용산구,보광동,2580,2945,9245,730,10,2,17280,0.149305556,0.170428241,0.535011574,327,0.018923611,0.04224537
중구신당3동,중구,신당3동,2845,3066,7242,955,6,3,19144,0.148610531,0.160154618,0.378290848,362,0.018909319,0.049885081
광진구중곡2동,광진구,중곡2동,3631,3702,9284,895,3,4,21550,0.168491879,0.171786543,0.430812065,405,0.018793503,0.041531323
양천구신월4동,양천구,신월4동,2714,2930,6274,849,12,1,18103,0.149919903,0.161851627,0.346572391,337,0.018615699,0.046898304
도봉구쌍문4동,도봉구,쌍문4동,3015,3222,6624,637,11,2,20923,0.144099794,0.153993213,0.316589399,375,0.01792286,0.030444965
노원구중계본동,노원구,중계본동,3204,3638,7912,994,6,3,27746,0.115476105,0.131117999,0.285158221,495,0.017840409,0.035824984
성동구행당2동,성동구,행당2동,3241,3534,8909,937,12,3,24562,0.131951795,0.143880791,0.362714763,434,0.017669571,0.038148359
도봉구도봉2동,도봉구,도봉2동,4275,4717,10387,1512,14,3,30037,0.142324466,0.157039651,0.345806838,530,0.017644905,0.050337917
금천구시흥2동,금천구,시흥2동,2902,3158,8264,1173,10,2,24934,0.116387262,0.126654368,0.331434988,434,0.017405952,0.047044197
강북구삼각산동,강북구,삼각산동,6399,4600,10914,1237,6,4,29080,0.220048143,0.158184319,0.375309491,505,0.017365887,0.042537827
강동구명일1동,강동구,명일1동,4086,4422,9082,843,7,8,27323,0.14954434,0.161841672,0.332393954,467,0.017091827,0.030853127
성동구사근동,성동구,사근동,2084,2252,4681,471,6,2,13445,0.155001859,0.167497211,0.348159167,228,0.016957977,0.03503161
광진구자양2동,광진구,자양2동,3833,4394,10581,1037,11,3,27797,0.137892578,0.158074612,0.380652588,470,0.016908299,0.037306184
양천구신정2동,양천구,신정2동,2526,2926,6891,794,15,2,21668,0.116577441,0.135037844,0.318026583,357,0.016475909,0.036643899
광진구구의3동,광진구,구의3동,4437,5037,10834,824,10,10,29019,0.152899824,0.173575933,0.373341604,473,0.016299666,0.028395189
동대문구휘경2동,동대문구,휘경2동,4727,3845,11034,852,11,2,24262,0.194831424,0.158478279,0.454785261,391,0.016115737,0.035116643
동대문구회기동,동대문구,회기동,2317,2407,7154,381,4,6,11492,0.201618517,0.209450052,0.622520014,184,0.016011138,0.033153498
강동구둔촌2동,강동구,둔촌2동,4076,4385,6304,1003,5,7,28322,0.14391639,0.154826637,0.222583151,453,0.015994633,0.035414166
도봉구창4동,도봉구,창4동,3513,4071,9719,1007,9,4,29977,0.117189846,0.135804116,0.324215232,479,0.015978917,0.033592421
강동구강일동,강동구,강일동,3461,3135,7526,1545,12,4,20642,0.167667862,0.151874818,0.364596454,329,0.015938378,0.074847399
광진구화양동,광진구,화양동,5135,5151,16080,687,3,10,27879,0.184188816,0.184762725,0.57677822,443,0.015890096,0.024642204
광진구자양3동,광진구,자양3동,4342,4714,10505,859,18,7,30719,0.141345747,0.153455516,0.341970767,477,0.015527849,0.02796315
양천구목4동,양천구,목4동,4078,4318,9593,910,9,3,26893,0.151637973,0.160562228,0.356709925,414,0.015394341,0.033837802
성북구돈암2동,성북구,돈암2동,2691,3558,7203,654,8,4,23173,0.116126527,0.153540759,0.310835887,356,0.015362707,0.0282225
강동구상일동,강동구,상일동,3973,4279,10099,991,8,2,26965,0.147339143,0.158687187,0.374522529,412,0.015279065,0.036751344
노원구공릉2동,노원구,공릉2동,7161,6986,15120,1564,19,8,46044,0.15552515,0.151724437,0.328381548,686,0.014898792,0.033967509
동대문구이문2동,동대문구,이문2동,2894,3095,8583,983,10,0,23056,0.125520472,0.134238376,0.372267523,341,0.014790076,0.042635323
노원구상계8동,노원구,상계8동,4128,4664,8744,804,14,3,26861,0.153680057,0.173634638,0.325527717,396,0.014742564,0.029931871
강동구고덕1동,강동구,고덕1동,2465,8260,7076,575,7,0,22457,0.109765329,0.367814045,0.315091063,330,0.01469475,0.025604489
성북구길음1동,성북구,길음1동,5325,5770,11257,1104,14,8,33173,0.160522111,0.173936635,0.339342236,480,0.014469599,0.033280077
중랑구신내1동,중랑구,신내1동,3845,4216,9528,1384,19,2,30972,0.124144388,0.13612295,0.307632701,438,0.014141806,0.044685522
도봉구방학3동,도봉구,방학3동,3613,4088,10083,1023,18,4,31020,0.116473243,0.131785945,0.325048356,438,0.014119923,0.032978723
노원구중계1동,노원구,중계1동,3800,4083,8498,840,18,6,29536,0.128656555,0.138238082,0.287716685,401,0.013576652,0.02843987
중구신당2동,중구,신당2동,2552,2836,6613,733,4,4,15476,0.164900491,0.183251486,0.427306798,210,0.013569398,0.04736366
중구필동,중구,필동,845,893,1253,196,1,8,4009,0.210775755,0.222748815,0.31254677,54,0.013469693,0.048889998
광진구광장동,광진구,광장동,5733,4377,11158,771,21,10,33965,0.168791403,0.128867952,0.328514647,457,0.013455027,0.022699838
동대문구장안2동,동대문구,장안2동,4374,4601,11648,1297,12,3,30683,0.142554509,0.149952743,0.379623896,399,0.013003944,0.042270964
양천구신정1동,양천구,신정1동,2088,3867,5830,508,5,6,22914,0.091123331,0.168761456,0.254429606,294,0.012830584,0.022169852
강동구암사3동,강동구,암사3동,2880,3113,13690,572,4,4,18452,0.156080642,0.168707999,0.741924995,232,0.012573163,0.03099935
도봉구쌍문1동,도봉구,쌍문1동,2932,3305,8210,1009,12,2,21530,0.136182072,0.153506735,0.381328379,261,0.01212262,0.04686484
양천구목5동,양천구,목5동,4811,5215,13203,781,14,14,43457,0.110707136,0.120003682,0.303817567,521,0.011988863,0.017971788
도봉구창5동,도봉구,창5동,3566,3924,9579,993,14,5,27231,0.130953692,0.144100474,0.351768205,308,0.011310639,0.036465793
강동구명일2동,강동구,명일2동,2658,2513,5396,494,8,8,18057,0.147200532,0.139170405,0.298831478,201,0.011131417,0.027357811
양천구목1동,양천구,목1동,4053,4357,9917,726,15,16,31410,0.129035339,0.138713785,0.315727475,331,0.010538045,0.023113658
강동구성내3동,강동구,성내3동,4403,4556,15796,890,4,6,24339,0.180903077,0.187189285,0.648999548,255,0.010477012,0.036566827
양천구신정6동,양천구,신정6동,3084,3527,7850,537,7,8,26008,0.118578899,0.135612119,0.301830206,266,0.010227622,0.020647493
강동구길동,강동구,길동,7373,7939,18445,1950,15,9,49837,0.147942292,0.159299316,0.370106547,508,0.01019323,0.039127556
도봉구방학1동,도봉구,방학1동,4772,4812,11475,1407,11,8,30677,0.15555628,0.156860188,0.374058741,302,0.009844509,0.04586498
용산구이촌1동,용산구,이촌1동,3279,3634,8416,552,9,17,26853,0.122109262,0.135329386,0.313410047,258,0.009607865,0.020556362
강동구천호1동,강동구,천호1동,5167,5447,5838,1371,7,2,30208,0.171047405,0.180316472,0.193260064,194,0.00642214,0.045385328
강동구천호2동,강동구,천호2동,5960,6265,8965,1847,13,7,36771,0.162084251,0.170378831,0.24380626,186,0.005058334,0.050229801
